datahora,Q
1930-11-25 07:00:00,251.60
1930-11-26 07:00:00,248.50
1930-11-27 07:00:00,245.40
1930-11-28 07:00:00,239.20
1930-11-29 07:00:00,233.00
1930-11-30 07:00:00,226.80
1930-12-01 07:00:00,245.40
1930-12-02 07:00:00,257.80
1930-12-03 07:00:00,251.60
1930-12-04 07:00:00,233.00
1930-12-05 07:00:00,220.60
1930-12-06 07:00:00,214.40
1930-12-07 07:00:00,202.00
1930-12-08 07:00:00,198.90
1930-12-09 07:00:00,202.00
1930-12-10 07:00:00,220.60
1930-12-11 07:00:00,233.00
1930-12-12 07:00:00,245.40
1930-12-13 07:00:00,264.00
1930-12-14 07:00:00,343.00
1930-12-15 07:00:00,376.50
1930-12-16 07:00:00,428.00
1930-12-17 07:00:00,547.40
1930-12-18 07:00:00,540.60
1930-12-19 07:00:00,493.00
1930-12-20 07:00:00,479.80
1930-12-21 07:00:00,460.00
1930-12-22 07:00:00,466.60
1930-12-23 07:00:00,447.20
1930-12-24 07:00:00,421.20
1930-12-25 07:00:00,394.00
1930-12-26 07:00:00,366.00
1930-12-27 07:00:00,359.00
1930-12-28 07:00:00,355.80
1930-12-29 07:00:00,352.60
1930-12-30 07:00:00,346.20
1930-12-31 07:00:00,339.80
1931-01-01 07:00:00,387.00
1931-01-02 07:00:00,390.50
1931-01-03 07:00:00,394.00
1931-01-04 07:00:00,421.20
1931-01-05 07:00:00,440.80
1931-01-06 07:00:00,473.20
1931-01-07 07:00:00,450.40
1931-01-08 07:00:00,431.20
1931-01-09 07:00:00,447.20
1931-01-10 07:00:00,460.00
1931-01-11 07:00:00,473.20
1931-01-12 07:00:00,463.30
1931-01-13 07:00:00,466.60
1931-01-14 07:00:00,466.60
1931-01-15 07:00:00,493.00
1931-01-16 07:00:00,707.00
1931-01-17 07:00:00,745.00
1931-01-18 07:00:00,676.60
1931-01-19 07:00:00,661.80
1931-01-20 07:00:00,676.60
1931-01-21 07:00:00,661.80
1931-01-22 07:00:00,625.60
1931-01-23 07:00:00,621.90
1931-01-24 07:00:00,621.90
1931-01-25 07:00:00,599.70
1931-01-26 07:00:00,561.00
1931-01-27 07:00:00,513.40
1931-01-28 07:00:00,486.40
1931-01-29 07:00:00,460.00
1931-01-30 07:00:00,434.40
1931-01-31 07:00:00,407.60
1931-02-01 07:00:00,387.00
1931-02-02 07:00:00,359.00
1931-02-03 07:00:00,327.00
1931-02-04 07:00:00,296.00
1931-02-05 07:00:00,270.40
1931-02-06 07:00:00,257.80
1931-02-07 07:00:00,251.60
1931-02-08 07:00:00,276.80
1931-02-09 07:00:00,314.60
1931-02-10 07:00:00,333.40
1931-02-11 07:00:00,339.80
1931-02-12 07:00:00,343.00
1931-02-13 07:00:00,376.50
1931-02-14 07:00:00,394.00
1931-02-15 07:00:00,359.00
1931-02-16 07:00:00,346.20
1931-02-17 07:00:00,327.00
1931-02-18 07:00:00,302.20
1931-02-19 07:00:00,276.80
1931-02-20 07:00:00,270.40
1931-02-21 07:00:00,245.40
1931-02-22 07:00:00,251.60
1931-02-23 07:00:00,233.00
1931-02-24 07:00:00,239.20
1931-02-25 07:00:00,245.40
1931-02-26 07:00:00,251.60
1931-02-27 07:00:00,264.00
1931-02-28 07:00:00,270.40
1931-03-01 07:00:00,267.20
1931-03-02 07:00:00,276.80
1931-03-03 07:00:00,264.00
1931-03-04 07:00:00,242.30
1931-03-05 07:00:00,245.40
1931-03-06 07:00:00,233.00
1931-03-07 07:00:00,214.40
1931-03-08 07:00:00,208.20
1931-03-09 07:00:00,270.40
1931-03-10 07:00:00,547.40
1931-03-11 07:00:00,533.80
1931-03-12 07:00:00,479.80
1931-03-13 07:00:00,460.00
1931-03-14 07:00:00,434.40
1931-03-15 07:00:00,414.40
1931-03-16 07:00:00,346.20
1931-03-17 07:00:00,327.00
1931-03-18 07:00:00,302.20
1931-03-19 07:00:00,273.60
1931-03-20 07:00:00,270.40
1931-03-21 07:00:00,245.40
1931-03-22 07:00:00,239.20
1931-03-23 07:00:00,233.00
1931-03-24 07:00:00,239.20
1931-03-25 07:00:00,251.60
1931-03-26 07:00:00,264.00
1931-03-27 07:00:00,251.60
1931-03-28 07:00:00,226.80
1931-03-29 07:00:00,208.20
1931-03-30 07:00:00,198.90
1931-03-31 07:00:00,171.00
1931-04-01 07:00:00,165.20
1931-04-02 07:00:00,159.40
1931-04-03 07:00:00,153.60
1931-04-04 07:00:00,147.80
1931-04-05 07:00:00,136.40
1931-04-06 07:00:00,133.60
1931-04-07 07:00:00,130.80
1931-04-08 07:00:00,125.20
1931-04-09 07:00:00,125.20
1931-04-10 07:00:00,119.60
1931-04-11 07:00:00,119.60
1931-04-12 07:00:00,122.40
1931-04-13 07:00:00,125.20
1931-04-14 07:00:00,125.20
1931-04-15 07:00:00,125.20
1931-04-16 07:00:00,125.20
1931-04-17 07:00:00,125.20
1931-04-18 07:00:00,125.20
1931-04-19 07:00:00,125.20
1931-04-20 07:00:00,122.40
1931-04-21 07:00:00,122.40
1931-04-22 07:00:00,125.20
1931-04-23 07:00:00,125.20
1931-04-24 07:00:00,125.20
1931-04-25 07:00:00,125.20
1931-04-26 07:00:00,125.20
1931-04-27 07:00:00,125.20
1931-04-28 07:00:00,159.40
1931-04-29 07:00:00,220.60
1931-04-30 07:00:00,257.80
1931-05-01 07:00:00,493.00
1931-05-02 07:00:00,1052.50
1931-05-03 07:00:00,1250.00
1931-05-04 07:00:00,1268.00
1931-05-05 07:00:00,1234.00
1931-05-06 07:00:00,1130.00
1931-05-07 07:00:00,1039.00
1931-05-08 07:00:00,973.20
1931-05-09 07:00:00,865.00
1931-05-10 07:00:00,760.60
1931-05-11 07:00:00,691.80
1931-05-12 07:00:00,618.20
1931-05-13 07:00:00,582.00
1931-05-14 07:00:00,610.80
1931-05-15 07:00:00,691.80
1931-05-16 07:00:00,699.40
1931-05-17 07:00:00,633.00
1931-05-18 07:00:00,618.20
1931-05-19 07:00:00,669.00
1931-05-20 07:00:00,772.30
1931-05-21 07:00:00,832.20
1931-05-22 07:00:00,840.40
1931-05-23 07:00:00,808.00
1931-05-24 07:00:00,792.00
1931-05-25 07:00:00,764.50
1931-05-26 07:00:00,816.00
1931-05-27 07:00:00,768.40
1931-05-28 07:00:00,745.00
1931-05-29 07:00:00,741.20
1931-05-30 07:00:00,676.60
1931-05-31 07:00:00,636.60
1931-06-01 07:00:00,603.40
1931-06-02 07:00:00,582.00
1931-06-03 07:00:00,575.00
1931-06-04 07:00:00,547.40
1931-06-05 07:00:00,516.80
1931-06-06 07:00:00,493.00
1931-06-07 07:00:00,499.80
1931-06-08 07:00:00,540.60
1931-06-09 07:00:00,554.20
1931-06-10 07:00:00,582.00
1931-06-11 07:00:00,990.00
1931-06-12 07:00:00,1345.00
1931-06-13 07:00:00,1453.00
1931-06-14 07:00:00,1453.00
1931-06-15 07:00:00,1443.40
1931-06-16 07:00:00,1325.00
1931-06-17 07:00:00,1268.00
1931-06-18 07:00:00,1242.00
1931-06-19 07:00:00,1206.00
1931-06-20 07:00:00,1182.00
1931-06-21 07:00:00,1150.00
1931-06-22 07:00:00,1115.50
1931-06-23 07:00:00,1093.00
1931-06-24 07:00:00,1039.00
1931-06-25 07:00:00,981.60
1931-06-26 07:00:00,964.80
1931-06-27 07:00:00,956.40
1931-06-28 07:00:00,981.60
1931-06-29 07:00:00,948.00
1931-06-30 07:00:00,897.80
1931-07-01 07:00:00,848.60
1931-07-02 07:00:00,824.00
1931-07-03 07:00:00,784.00
1931-07-04 07:00:00,768.40
1931-07-05 07:00:00,922.80
1931-07-06 07:00:00,906.00
1931-07-07 07:00:00,824.00
1931-07-08 07:00:00,808.00
1931-07-09 07:00:00,873.20
1931-07-10 07:00:00,865.00
1931-07-11 07:00:00,840.40
1931-07-12 07:00:00,824.00
1931-07-13 07:00:00,808.00
1931-07-14 07:00:00,784.00
1931-07-15 07:00:00,737.40
1931-07-16 07:00:00,691.80
1931-07-17 07:00:00,661.80
1931-07-18 07:00:00,625.60
1931-07-19 07:00:00,575.00
1931-07-20 07:00:00,533.80
1931-07-21 07:00:00,499.80
1931-07-22 07:00:00,469.90
1931-07-23 07:00:00,440.80
1931-07-24 07:00:00,414.40
1931-07-25 07:00:00,387.00
1931-07-26 07:00:00,359.00
1931-07-27 07:00:00,352.60
1931-07-28 07:00:00,346.20
1931-07-29 07:00:00,339.80
1931-07-30 07:00:00,339.80
1931-07-31 07:00:00,346.20
1931-08-01 07:00:00,352.60
1931-08-02 07:00:00,359.00
1931-08-03 07:00:00,346.20
1931-08-04 07:00:00,349.40
1931-08-05 07:00:00,327.00
1931-08-06 07:00:00,317.70
